id;nombre
DKcWE3WXoj8C;Daniel H. Nexon
DKcWE3WXoj8C;Iver B. Neumann
3PGBUrScs-YC;Richard Abanes
JGQBcu5O_ZcC;Nikita Agarwal
JGQBcu5O_ZcC;Chitra Agarwal
JGQBcu5O_ZcC;Benjamin Vincent
JGQBcu5O_ZcC;Daniel H. Nexon
zN6Ma8P0SxQC;Michelle Breyer
zN6Ma8P0SxQC;Michelle
BoX-6R21MgQC;Neil Mulholland
ODOODwAAQBAJ;Emily Lauer
ODOODwAAQBAJ;Balaka Basu
iO5pApw2JycC;Lana A. Whited
Aaug_RnI-xQC;Andrew Blake
o-QCOFDHmPEC;Dr Katrin Berndt
o-QCOFDHmPEC;Dr Lena Steveker
pBjDSPhUjp8C;William Irwin
pBjDSPhUjp8C;Gregory Bassham
MNz7NNHKWhAC;Harry Foxwell
MNz7NNHKWhAC;Hung Tran
bAxthtoEQhcC;Mladen Gogala
bAxthtoEQhcC;Peter MacIntyre
bAxthtoEQhcC;Adam MacDonald
bAxthtoEQhcC;Brian Danchilla
eGdLbRZ5AX0C;Raymond Yee
hFMnCgAAQBAJ;Wlodzimierz Gajda
-ta483U06R8C;Doug Gault
-ta483U06R8C;Karen Cannell
-ta483U06R8C;Patrick Cimolini
-ta483U06R8C;Timothy St Hilaire
-ta483U06R8C;Martin DSouza
snspaAkcdRYC;Roger Wickes
udvfJWJ2gtIC;Gini Courter
udvfJWJ2gtIC;Annette Marquis
XLAJXwcCRz0C;Sayed Hashimi
XLAJXwcCRz0C;Satya Komatineni
XLAJXwcCRz0C;Dave MacLean
SthCDwAAQBAJ;Mike Driscoll
TVFvcFTc1yQC;Stein Borge
qOQtkuO4BLYC;Marcia Hughes
qOQtkuO4BLYC;James Bradford Terrell
h0q1DwAAQBAJ;Diane Ceo-DiFrancesco
h0q1DwAAQBAJ;Gregg Thompson
h0q1DwAAQBAJ;Kathy P. Barton
h0q1DwAAQBAJ;Alan Brown
hmYGMe9ecKUC;Michael Schudson
3Ylftvw0638C;Medard Thiry
3Ylftvw0638C;Regine Simon Coincon
EXBN-5ONKmEC;Wim Soetaert
EXBN-5ONKmEC;Erick J. Vandamme
lkYFVJ3U-BIC;Joseph Roisman
lkYFVJ3U-BIC;Ian Worthington
HY1FDwAAQBAJ;Ian C. Shaw
sdzhBQAAQBAJ;Tim Cresswell
rl8LDiR11nYC;Mark Aronoff
rl8LDiR11nYC;Janie Rees-Miller
gLlpIUxRntoC;Bradley Efron
gLlpIUxRntoC;R.J. Tibshirani
y_u_DwAAQBAJ;RB Team
y_u_DwAAQBAJ;Rekha
ZJzIpNZNVLgC;Raoul LePage
ZJzIpNZNVLgC;Lynne Billard
T01ZDwAAQBAJ;Bryan F.J. Manly
LZm7Cxgi3aQC;Jake Spurlock
edXvBwAAQBAJ;Philippe Barbe
edXvBwAAQBAJ;Patrice Bertail
RWTlSs8e5KkC;Abdelhak M. Zoubir
RWTlSs8e5KkC;D. Robert Iskander
4aCDbm_t8jUC;A. C. Davison
4aCDbm_t8jUC;D. V. Hinkley
BXuzMLIPhlkC;Nancy C. Jurik
gqDNBgAAQBAJ;Syed Fazle Rahman
