id;isbn13;isbn10;titulo;subtitulo;fecha_publicacion;paginas;editorial;publico;descripcion;categoria;precio;moneda;rating_avg;rating_count;idioma;canonical_link;imagen;self
DKcWE3WXoj8C;9780742539594;0742539598;Harry Potter and International Relations;;2006;245;Rowman & Littlefield;NOT_MATURE;Drawing on a range of historical and sociological sources, this work shows how aspects of Harry's world contain aspects of our own. It also includes chapters on the political economy of the franchise, and on the problems of studying popular culture.;Literary Criticism;;;3.5;7;en;https://books.google.com/books/about/Harry_Potter_and_International_Relations.html?hl=&id=DKcWE3WXoj8C;http://books.google.com/books/content?id=DKcWE3WXoj8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;https://www.googleapis.com/books/v1/volumes/DKcWE3WXoj8C
3PGBUrScs-YC;9780889652019;0889652015;Harry Potter and the Bible;The Menace Behind the Magick;2001;275;Wingspread Pub;NOT_MATURE;Examines J.K. Rowling's "Harry Potter" books, discussing their use of occult imagery and their potential dangers to Christians, and compares them to the "safer" works of C.S. Lewis and J.R.R. Tolkien.;Religion;;;4;5;en;https://books.google.com/books/about/Harry_Potter_and_the_Bible.html?hl=&id=3PGBUrScs-YC;http://books.google.com/books/content?id=3PGBUrScs-YC&printsec=frontcover&img=1&zoom=1&source=gbs_api;https://www.googleapis.com/books/v1/volumes/3PGBUrScs-YC
JGQBcu5O_ZcC;9781598002218;159800221X;Friends and Foes of Harry Potter;Names Decoded;2005;159;Texas World Publishing;NOT_MATURE;Examines the meanings behind the names of people and places in the Harry Potter books.;Juvenile Nonfiction;;;5;2;en;https://books.google.com/books/about/Friends_and_Foes_of_Harry_Potter.html?hl=&id=JGQBcu5O_ZcC;http://books.google.com/books/content?id=JGQBcu5O_ZcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;https://www.googleapis.com/books/v1/volumes/JGQBcu5O_ZcC
zN6Ma8P0SxQC;9781576906385;1576906388;A Guide for Using Harry Potter and the Sorcerer's Stone/Other Harry Potter Books in the Classroom;;2002-06-01;48;Teacher Created Resources;NOT_MATURE;;Activity programs in education;;;0;0;en;https://books.google.com/books/about/A_Guide_for_Using_Harry_Potter_and_the_S.html?hl=&id=zN6Ma8P0SxQC;http://books.google.com/books/content?id=zN6Ma8P0SxQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;https://www.googleapis.com/books/v1/volumes/zN6Ma8P0SxQC
BoX-6R21MgQC;9781935251378;1935251376;The Psychology of Harry Potter;An Unauthorized Examination Of The Boy Who Lived;2009-06-22;326;BenBella Books, Inc.;NOT_MATURE;Harry Potter has provided a portal to the wizarding world for millions of readers, but an examination of Harry, his friends and his enemies will take us on yet another journey: through the psyche of the Muggle (and wizard!) mind. The twists and turns of the series, as well as the psychological depth and complexity of J. K. Rowling’s characters, have kept fans enthralled with and puzzling over the many mysteries that permeate Hogwarts and beyond: Do the Harry Potter books encourage disobedience? Why is everyone so fascinated by Professor Lupin? What exactly will Harry and his friends do when they finally pass those N.E.W.T.s? Do even wizards live by the ticking of the clock? Is Harry destined to end up alone? And why did it take Ron and Hermione so long to get together? Now, in The Psychology of Harry Potter, leading psychologists delve into the ultimate Chamber of Secrets, analyzing human mind and motivation by examining the themes and characters that make the Harry Potter books the bestselling fantasy series of all time. Grab a spot on the nearest couch, and settle in for some fresh revelations about our favorite young wizard!;Psychology;;;3.5;10;en;https://books.google.com/books/about/The_Psychology_of_Harry_Potter.html?hl=&id=BoX-6R21MgQC;http://books.google.com/books/content?id=BoX-6R21MgQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;https://www.googleapis.com/books/v1/volumes/BoX-6R21MgQC
ODOODwAAQBAJ;9781476635521;1476635528;The Harry Potter Generation;Essays on Growing Up with the Series;2019-03-20;218;McFarland;NOT_MATURE;The generation of readers most heavily impacted by J.K. Rowling’s Harry Potter series—those who grew up alongside “the boy who lived”—have come of age. They are poised to become teachers, parents, critics and writers, and many of their views and choices will be influenced by the literary revolution in which they were immersed. This collection of new essays explores the many different ways in which Harry Potter has shaped this generation’s views on everything from politics to identity to pedagogical spaces online. It seeks to determine how the books have affected fans’ understanding of their place in the world and their capacity to create it anew.;;1694.54;ARS;1;1;en;https://play.google.com/store/books/details?id=ODOODwAAQBAJ;http://books.google.com/books/content?id=ODOODwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;https://www.googleapis.com/books/v1/volumes/ODOODwAAQBAJ
iO5pApw2JycC;9780826215499;0826215491;The Ivory Tower and Harry Potter;Perspectives on a Literary Phenomenon;2004;418;University of Missouri Press;NOT_MATURE;Now available in paper, The Ivory Tower and Harry Potter is the first book-length analysis of J. K. Rowling's work from a broad range of perspectives within literature, folklore, psychology, sociology, and popular culture. A significant portion of the book explores the Harry Potter series' literary ancestors, including magic and fantasy works by Ursula K. LeGuin, Monica Furlong, Jill Murphy, and others, as well as previous works about the British boarding school experience. Other chapters explore the moral and ethical dimensions of Harry's world, including objections to the series raised within some religious circles. In her new epilogue, Lana A. Whited brings this volume up to date by covering Rowling's latest book, Harry Potter and the Order of the Phoenix.;Literary Criticism;;;4.5;13;en;https://books.google.com/books/about/The_Ivory_Tower_and_Harry_Potter.html?hl=&id=iO5pApw2JycC;http://books.google.com/books/content?id=iO5pApw2JycC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;https://www.googleapis.com/books/v1/volumes/iO5pApw2JycC
Aaug_RnI-xQC;9781859846667;1859846661;The Irresistible Rise of Harry Potter;;2002;118;Verso;NOT_MATURE;Blake's examination of the Potter phenomenon raises serious questions about the condition of the publishing industry, filmmaking, and the ways in which the Potter consumer campaign has changed ideas about literature and reading.;Literary Criticism;;;4.5;5;en;https://books.google.com/books/about/The_Irresistible_Rise_of_Harry_Potter.html?hl=&id=Aaug_RnI-xQC;http://books.google.com/books/content?id=Aaug_RnI-xQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;https://www.googleapis.com/books/v1/volumes/Aaug_RnI-xQC
o-QCOFDHmPEC;9781409478416;1409478416;Heroism in the Harry Potter Series;;2013-05-28;248;Ashgate Publishing, Ltd.;NOT_MATURE;Taking up the various conceptions of heroism that are conjured in the Harry Potter series, this collection examines the ways fictional heroism in the twenty-first century challenges the idealized forms of a somewhat simplistic masculinity associated with genres like the epic, romance and classic adventure story. The collection's three sections address broad issues related to genre, Harry Potter's development as the central heroic character and the question of who qualifies as a hero in the Harry Potter series. Among the topics are Harry Potter as both epic and postmodern hero, the series as a modern-day example of psychomachia, the series' indebtedness to the Gothic tradition, Harry's development in the first six film adaptations, Harry Potter and the idea of the English gentleman, Hermione Granger's explicitly female version of heroism, adult role models in Harry Potter, and the complex depictions of heroism exhibited by the series' minor characters. Together, the essays suggest that the Harry Potter novels rely on established generic, moral and popular codes to develop new and genuine ways of expressing what a globalized world has applauded as ethically exemplary models of heroism based on responsibility, courage, humility and kindness.;Literary Criticism;10591.77;ARS;5;1;en;https://play.google.com/store/books/details?id=o-QCOFDHmPEC;http://books.google.com/books/content?id=o-QCOFDHmPEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;https://www.googleapis.com/books/v1/volumes/o-QCOFDHmPEC
pBjDSPhUjp8C;9780470627358;0470627352;The Ultimate Harry Potter and Philosophy;Hogwarts for Muggles;2010-08-13;304;John Wiley & Sons;NOT_MATURE;A philosophical exploration of the entire seven-book Harry Potter series Harry Potter has been heralded as one of the most popular book series of all time and the philosophical nature of Harry, Hermione, and Ron's quest to rid the world of its ultimate evil is one of the many things that make this series special. The Ultimate Harry Potter and Philosophy covers all seven titles in J.K. Rowling's groundbreaking series and takes fans back to Godric's Hollow to discuss life after death, to consider what moral reasoning drove Harry to choose death, and to debate whether Sirius Black is a man or a dog. With publication timed to coincide with the release of the movie Harry Potter and the Deathly Hallows (Part 1), this book will be the definitive guide for all fans looking to appreciate the series on a deeper level. Covers a range of intriguing topics such as the redemption of Severus Snape, the power of love, and destiny in the wizarding world Gives you a new perspective on Harry Potter characters, plot lines, and themes Makes a perfect companion to the Harry Potter books and movies Packed with interesting ideas and insights, The Ultimate Harry Potter and Philosophy is an ideal companion for anyone interested in unraveling the subtext and exploring the greater issues at work in the story.;Philosophy;1338.54;ARS;4;24;en;https://play.google.com/store/books/details?id=pBjDSPhUjp8C;http://books.google.com/books/content?id=pBjDSPhUjp8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;https://www.googleapis.com/books/v1/volumes/pBjDSPhUjp8C
